,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
0,Aave,AAVE,2020-10-05,55.11235847,49.78789992,52.67503496,53.21924296,0.0,89128128.86084658
1,Aave,AAVE,2020-10-06,53.40227002,40.73457791,53.29196931,42.40159861,583091.4597628,71011441.25451232
2,Aave,AAVE,2020-10-07,42.40831364,35.97068975,42.39994711,40.08397561,682834.18632335,67130036.89981823
3,Aave,AAVE,2020-10-08,44.90251114,36.69605677,39.88526234,43.76446306,1658816.92260445,220265142.10956785
4,Aave,AAVE,2020-10-09,47.56953274,43.291775799999996,43.76446306,46.81774415,815537.6607835001,235632208.16269895
5,Aave,AAVE,2020-10-10,51.40565479999999,46.70332768,46.81814554,49.13371767,1074627.02770495,247288428.7561697
6,Aave,AAVE,2020-10-11,51.45337431,48.71603954,49.13312951,49.66072573,692150.60094118,249940843.43242228
7,Aave,AAVE,2020-10-12,54.42141763,48.75407708,49.66157329,52.23869222,1354836.06481028,262915666.29307267
8,Aave,AAVE,2020-10-13,57.48190422,49.59873521,52.23839242,51.12431679,1386221.2066711,257307050.4308017
9,Aave,AAVE,2020-10-14,57.85394649,49.62952942,51.37289869,51.31651791,3132405.42216768,258274392.50811112
10,Aave,AAVE,2020-10-15,52.08068541,44.01832531,51.38760962,44.01918294,5883146.06280652,221547139.10727772
11,Aave,AAVE,2020-10-16,43.90673033,39.14295677,42.89060653,39.49584426,52855204.93631293,365071463.27992666
12,Aave,AAVE,2020-10-17,43.07737327,38.63361292,39.48619161,41.36699325,43339687.2478275,382367032.26402897
13,Aave,AAVE,2020-10-18,41.7494876,39.53158618,41.38959771,40.74697166,40441163.45662788,376635994.1363743
14,Aave,AAVE,2020-10-19,40.995183700000005,35.95136399,40.83675675,36.01231739,49289896.51123791,332872221.1838187
15,Aave,AAVE,2020-10-20,36.31907005,32.1010995,36.04378522,32.18001748,60632325.59383004,297449169.45201004
16,Aave,AAVE,2020-10-21,37.07820274,32.04814912,32.25348971,35.16035652,43831234.96273086,324997301.45456576
17,Aave,AAVE,2020-10-22,39.85692062,33.58946348,35.09748742,38.03165056,54717366.37734977,402396251.49084926
18,Aave,AAVE,2020-10-23,42.54665591,36.92467124,37.73059438,41.68663736,76081859.91147137,445257057.9715303
19,Aave,AAVE,2020-10-24,42.43970617,38.72882165,41.68663733,39.45502214,57658170.294686295,421421064.27901787
20,Aave,AAVE,2020-10-25,40.92850939,37.60120084,39.45502214,37.90476078,43970451.95984127,404862645.1741443
21,Aave,AAVE,2020-10-26,39.16386433,35.07196756,37.90476254,36.03392191,50307222.85474928,384880121.63162833
22,Aave,AAVE,2020-10-27,38.86918184,34.46963521,36.0339136,34.87153083,58581307.85370107,372464564.3579748
23,Aave,AAVE,2020-10-28,35.56402236,32.00005907,34.87153639,32.39408292,60533866.82608766,346002819.346564
24,Aave,AAVE,2020-10-29,33.155483600000004,28.24077345,32.39408189,29.09833402,66304785.64501483,310800760.62242234
25,Aave,AAVE,2020-10-30,31.98077334,27.79246068,29.09834147,31.21782294,77280723.58900179,350090548.37008536
26,Aave,AAVE,2020-10-31,32.90016101,29.61025941,31.21782294,29.70751775,58631071.60696922,333516029.29639417
27,Aave,AAVE,2020-11-01,31.0670602,28.49448212,29.70751776,30.65727643,49568339.15865809,345465544.0019291
28,Aave,AAVE,2020-11-02,33.92358529,29.34464956,30.65728227,29.73152358,87180146.47242028,335349717.5105502
29,Aave,AAVE,2020-11-03,30.06291681,27.53711073,29.73152554,28.04280321,56775011.59564292,316455541.59797317
30,Aave,AAVE,2020-11-04,28.4330692,26.08951824,28.04297069,27.71508436,50464690.5101932,313021334.56848735
31,Aave,AAVE,2020-11-05,32.3030396,25.96615498,27.7150798,30.95562668,85212411.64251429,350205472.9254519
32,Aave,AAVE,2020-11-06,40.76907497,30.8551283,30.95511845,38.45744081,147304661.0003733,435876358.2493624
33,Aave,AAVE,2020-11-07,51.42799241,38.45744081,38.45744081,44.60489962,200580053.60534415,507707213.1975601
34,Aave,AAVE,2020-11-08,54.78636021,42.86425511,44.60489961,53.74937894,174706008.6468665,613014913.9174644
35,Aave,AAVE,2020-11-09,58.36411095,49.86012895,53.74937384,54.88649964,386011347.7491518,626843328.1215719
36,Aave,AAVE,2020-11-10,70.30982523,53.17903589,54.88650532,67.00111098,433793206.4967589,780700254.0603075
37,Aave,AAVE,2020-11-11,68.77859822,53.71675388,67.00111108,54.69964668,354136841.3455583,638025534.6074319
38,Aave,AAVE,2020-11-12,59.61831483,50.52310167,54.69962256,51.63241804,244505561.5470832,603421827.5595561
39,Aave,AAVE,2020-11-13,66.12366042,51.1791527,51.63243434,63.39907168,318852071.2420879,743396746.1819518
40,Aave,AAVE,2020-11-14,68.37704309,57.89727345,63.39907168,67.01611273,243698854.74567783,786814070.8942633
41,Aave,AAVE,2020-11-15,71.17455519,60.08891509,67.01611268,64.23729542,258275517.09982908,754769242.984942
42,Aave,AAVE,2020-11-16,74.0423007,61.20922869,64.23729391,71.76639355,252527244.6746781,843863117.2246928
43,Aave,AAVE,2020-11-17,79.56212338,68.95632584,73.25306540000001,78.44328478,310951195.4893777,923384720.0462723
44,Aave,AAVE,2020-11-18,79.21050482,67.64859817,78.44275754,75.23227405,291394550.7946071,887327038.5704359
45,Aave,AAVE,2020-11-19,80.73120239,70.5034588,75.23277433,75.85718351,275294182.28090847,895838057.7896098
46,Aave,AAVE,2020-11-20,82.17322523,74.68948917,75.85718441,75.06539972,260578165.49533343,888309702.5449908
47,Aave,AAVE,2020-11-21,76.89173349,67.79606731,75.06539968,70.42424685,237984829.20010588,833647262.7056857
48,Aave,AAVE,2020-11-22,74.6597895,63.29912732,70.4242469,68.42477869,209068686.3780854,811198457.4282078
49,Aave,AAVE,2020-11-23,73.77057074,65.73764591,68.42478443,71.83861244,220212896.11998266,852034424.5073861
50,Aave,AAVE,2020-11-24,74.38013135,66.27866009,71.85567173,66.73867871,193004081.17873785,792032288.2378324
51,Aave,AAVE,2020-11-25,67.45255654,59.55788547,66.71556336,61.80533895,154888752.21671736,733874939.2967753
52,Aave,AAVE,2020-11-26,65.09772852,50.38421932,61.81669679,63.99345248,282502058.4653289,760506808.6507188
53,Aave,AAVE,2020-11-27,68.66542935,56.65032306,64.00578618,60.73871861,201844805.75607985,722139363.7789521
54,Aave,AAVE,2020-11-28,66.20104081,58.979245999999996,60.74922406,63.94728703,150605043.44521672,760508853.1865296
55,Aave,AAVE,2020-11-29,69.56144009,62.04129627,63.94875712,68.85312443,161791286.30746406,819035970.4519867
56,Aave,AAVE,2020-11-30,79.46509408,68.85644439,68.85644439,76.41953515,288079549.86705697,909941093.0031154
57,Aave,AAVE,2020-12-01,78.86189102,70.94403421,76.42472206,74.86836458,268968536.9296152,891921515.9888393
58,Aave,AAVE,2020-12-02,89.93801025,72.4543506,74.86115440000002,86.32324982,410949897.5495344,1029525776.0385627
59,Aave,AAVE,2020-12-03,94.06976137,83.21397488,86.38082732,91.67564477,390370348.3556075,1093762156.9254584
60,Aave,AAVE,2020-12-04,92.73576711,80.18386018,91.68452862,81.6418197,344330864.1263516,974344644.041474
61,Aave,AAVE,2020-12-05,91.92059987,79.94649654,81.58988912,91.92059987,321071928.23277366,1097810892.1516194
62,Aave,AAVE,2020-12-06,92.73346394,84.95069045,91.94666405,87.95642649,261643152.7839865,1051203168.9805939
63,Aave,AAVE,2020-12-07,94.70016225,86.90958728,87.95654066,90.9602979,299145687.7401658,1087477655.8333123
64,Aave,AAVE,2020-12-08,91.09876956,78.20985346,90.95032482,79.94619074,376267574.78470373,956117556.4913539
65,Aave,AAVE,2020-12-09,86.12544951,75.09706845,79.92281871,82.11372218,357447823.95459265,982942929.9949716
66,Aave,AAVE,2020-12-10,83.05117464,75.8590325,82.18282288,76.64575648,299977126.99674493,917596922.5460533
67,Aave,AAVE,2020-12-11,78.34898133,70.70723382,76.62523273,74.72982934,314260628.56666005,894777251.8971121
68,Aave,AAVE,2020-12-12,79.99834299,74.64877724,74.68163358,77.55488043,228308571.77371025,928807400.9458117
69,Aave,AAVE,2020-12-13,84.64911414,76.92843287,77.58847305,83.42745942,269018776.9246724,999380433.3589151
70,Aave,AAVE,2020-12-14,90.85681018,79.78814542,83.45492245,86.14011813,309773536.51004165,1032112150.701743
71,Aave,AAVE,2020-12-15,88.7453422,84.62607976,86.15458046,87.25809436,288078630.12110555,1045770157.8973217
72,Aave,AAVE,2020-12-16,89.48084257,80.96540248,87.22501124,87.23005839,368950333.1915783,1045506379.575309
